10	176.54
20	172.62
30	182.89
40	193.78
50	204.01
60	213.09
70	222.37
80	231.91
90	240.51
100	250.54
200	329.18
300	396.32
400	448.95
500	492.73
600	528.25
700	557.08
800	580.98
900	602.18
1000	621.96
1200	653.18
1400	680.03
1600	703.58
1800	721.82
2000	739.06
4000	852.25
6000	921.43
8000	973.6
10000	1016.25
12000	1056.79
14000	1090.31
16000	1122.53
18000	1151.37
20000	1179.92
22000	1205.29
24000	1230.93
26000	1254.47
28000	1278.66
30000	1303.31
32000	1324.43
34000	1346.59
36000	1368.76
38000	1387.9
40000	1409.56
42000	1429.7
44000	1451.11
46000	1470.66
48000	1488.61
50000	1508.82
52000	1528.53
54000	1548.31
56000	1566.77
58000	1585.21
60000	1603.91
62000	1621.87
64000	1640.85
