10	180.81
20	178.18
30	187.81
40	197.48
50	206.59
60	214.93
70	223.31
80	232.13
90	241.23
100	249.65
200	323.65
300	384.85
400	434.37
500	474.18
600	508.25
700	534.42
800	557.32
900	578.2
1000	595.95
1200	626.25
1400	653.83
1600	674.43
1800	693.1
2000	709.8
4000	822.68
6000	890.87
8000	943.76
10000	985.83
12000	1024.82
14000	1057.99
16000	1090.15
18000	1117.93
20000	1146.47
22000	1173.09
24000	1197.21
26000	1221.22
28000	1246.12
30000	1268.33
32000	1292.24
34000	1314.03
36000	1334.63
38000	1355.91
40000	1377.24
42000	1397.86
44000	1418.87
46000	1438.59
48000	1458.48
50000	1477.32
52000	1496.76
54000	1517.77
56000	1536.28
58000	1556.12
60000	1574.19
62000	1592.56
64000	1610.95
