10	151.5
20	151.14
30	160.55
40	168.82
50	177.43
60	186.01
70	194.38
80	201.29
90	209.95
100	216.52
200	281.39
300	333.03
400	374.95
500	408.55
600	437.15
700	461.31
800	482.1
900	500.47
1000	517.82
1200	545.51
1400	568.06
1600	588.26
1800	605.11
2000	621.06
4000	724.11
6000	789.17
8000	838.81
10000	879.5
12000	915.51
14000	948.54
16000	978.34
18000	1005.92
20000	1033.85
22000	1059.26
24000	1082.27
26000	1106.15
28000	1129.22
30000	1150.85
32000	1172.12
34000	1193.24
36000	1213.78
38000	1233.66
40000	1252.9
42000	1273.0
44000	1292.76
46000	1312.49
48000	1330.69
50000	1350.07
52000	1368.62
54000	1386.65
56000	1404.88
58000	1423.37
60000	1440.77
62000	1459.13
64000	1476.68
