# Acquisition started at 11/01/2023 - 15:11:40 
#
#******************************************* 
#
#Event	Ev.Type	ASIC	Ch.Type	Channel		Energy (ADC)
8	000	2	00	28		107
8	000	2	00	29		200
8	000	2	00	30		189
8	011	2	10	31		86
9	000	2	00	0		147
9	000	2	00	1		133
9	000	2	00	2		97
9	000	2	00	3		114
9	000	2	00	4		144
9	000	2	00	5		541
9	000	2	00	6		150
9	000	2	00	7		86
9	000	2	00	8		82
9	000	2	00	9		109
9	000	2	00	10		145
9	000	2	00	11		106
9	000	2	00	12		148
9	000	2	00	13		102
9	000	2	00	14		110
9	000	2	00	15		126
9	000	2	00	16		140
9	000	2	00	17		103
9	000	2	00	18		118
9	000	2	00	19		105
9	000	2	00	20		114
9	000	2	00	21		124
9	000	2	00	22		149
9	000	2	00	23		112
9	000	2	00	24		96
9	000	2	00	25		132
9	000	2	00	26		134
9	000	2	00	27		141
9	000	2	00	28		105
9	000	2	00	29		197
9	000	2	00	30		186
9	011	2	10	31		84
10	000	2	00	0		156
10	000	2	00	1		233
10	000	2	00	2		107
10	000	2	00	3		121
10	000	2	00	4		150
10	000	2	00	5		100
10	000	2	00	6		158
10	000	2	00	7		97
10	000	2	00	8		93
10	000	2	00	9		114
10	000	2	00	10		153
10	000	2	00	11		116
10	000	2	00	12		156
10	000	2	00	13		110
10	000	2	00	14		126
10	000	2	00	15		130
10	000	2	00	16		140
10	000	2	00	17		104
10	000	2	00	18		116
10	000	2	00	19		102
10	000	2	00	20		116
10	000	2	00	21		123
10	000	2	00	22		144
10	000	2	00	23		109
10	000	2	00	24		91
10	000	2	00	25		130
10	000	2	00	26		133
10	000	2	00	27		138
10	000	2	00	28		108
10	000	2	00	29		196
10	000	2	00	30		184
10	011	2	10	31		80
11	000	2	00	0		154
11	000	2	00	1		138
11	000	2	00	2		413
11	000	2	00	3		125
11	000	2	00	4		151
11	000	2	00	5		102
11	000	2	00	6		156
11	000	2	00	7		94
11	000	2	00	8		92
11	000	2	00	9		117
11	000	2	00	10		145
11	000	2	00	11		109
11	000	2	00	12		152
11	000	2	00	13		111
11	000	2	00	14		118
11	000	2	00	15		125
11	000	2	00	16		141
11	000	2	00	17		109
11	000	2	00	18		116
11	000	2	00	19		109
11	000	2	00	20		118
11	000	2	00	21		122
11	000	2	00	22		147
11	000	2	00	23		113
11	000	2	00	24		95
11	000	2	00	25		134
11	000	2	00	26		135
11	000	2	00	27		142
11	000	2	00	28		107
11	000	2	00	29		197
11	000	2	00	30		187
11	011	2	10	31		81
12	000	2	00	0		567
12	000	2	00	1		133
12	000	2	00	2		100
12	000	2	00	3		115
12	000	2	00	4		142
12	000	2	00	5		90
12	000	2	00	6		152
12	000	2	00	7		92
12	000	2	00	8		86
12	000	2	00	9		110
12	000	2	00	10		144
12	000	2	00	11		106
12	000	2	00	12		148
12	000	2	00	13		103
12	000	2	00	14		112
12	000	2	00	15		123
12	000	2	00	16		140
12	000	2	00	17		108
12	000	2	00	18		118
12	000	2	00	19		101
12	000	2	00	20		114
12	000	2	00	21		126
12	000	2	00	22		146
12	000	2	00	23		108
12	000	2	00	24		97
12	000	2	00	25		134
12	000	2	00	26		134
12	000	2	00	27		141
12	000	2	00	28		111
12	000	2	00	29		195
12	000	2	00	30		186
12	011	2	10	31		81
13	000	2	00	0		160
13	000	2	00	1		142
13	000	2	00	2		108
13	000	2	00	3		122
13	000	2	00	4		152
13	000	2	00	5		98
13	000	2	00	6		162
13	000	2	00	7		268
13	000	2	00	8		93
13	000	2	00	9		120
13	000	2	00	10		155
13	000	2	00	11		114
13	000	2	00	12		157
13	000	2	00	13		113
13	000	2	00	14		129
13	000	2	00	15		132
13	000	2	00	16		142
13	000	2	00	17		108
13	000	2	00	18		118
13	000	2	00	19		107
13	000	2	00	20		118
13	000	2	00	21		123
13	000	2	00	22		151
13	000	2	00	23		113
13	000	2	00	24		96
13	000	2	00	25		137
13	000	2	00	26		135
13	000	2	00	27		141
13	000	2	00	28		109
13	000	2	00	29		197
13	000	2	00	30		189
13	011	2	10	31		87
14	000	2	00	0		153
14	000	2	00	1		139
14	000	2	00	2		111
14	000	2	00	3		126
14	000	2	00	4		151
14	000	2	00	5		100
14	000	2	00	6		279
14	000	2	00	7		97
14	000	2	00	8		100
14	000	2	00	9		122
14	000	2	00	10		156
14	000	2	00	11		120
14	000	2	00	12		161
14	000	2	00	13		119
14	000	2	00	14		130
14	000	2	00	15		138
14	000	2	00	16		146
14	000	2	00	17		110
14	000	2	00	18		121
14	000	2	00	19		106
14	000	2	00	20		122
14	000	2	00	21		126
14	000	2	00	22		151
14	000	2	00	23		114
14	000	2	00	24		104
14	000	2	00	25		137
14	000	2	00	26		137
14	000	2	00	27		142
14	000	2	00	28		108
14	000	2	00	29		198
14	000	2	00	30		191
14	011	2	10	31		84
15	000	2	00	0		157
15	000	2	00	1		138
15	000	2	00	2		107
15	000	2	00	3		128
15	000	2	00	4		247
15	000	2	00	5		102
15	000	2	00	6		165
15	000	2	00	7		97
15	000	2	00	8		92
15	000	2	00	9		116
15	000	2	00	10		156
15	000	2	00	11		118
15	000	2	00	12		152
15	000	2	00	13		115
15	000	2	00	14		121
15	000	2	00	15		132
15	000	2	00	16		141
15	000	2	00	17		107
15	000	2	00	18		120
15	000	2	00	19		101
15	000	2	00	20		114
15	000	2	00	21		122
15	000	2	00	22		149
15	000	2	00	23		111
15	000	2	00	24		96
15	000	2	00	25		133
15	000	2	00	26		134
15	000	2	00	27		139
15	000	2	00	28		107
15	000	2	00	29		195
15	000	2	00	30		190
15	011	2	10	31		85
16	000	2	00	0		157
16	000	2	00	1		140
16	000	2	00	2		215
16	000	2	00	3		122
16	000	2	00	4		142
16	000	2	00	5		98
16	000	2	00	6		160
16	000	2	00	7		96
16	000	2	00	8		94
16	000	2	00	9		112
16	000	2	00	10		155
16	000	2	00	11		110
16	000	2	00	12		156
16	000	2	00	13		112
16	000	2	00	14		123
16	000	2	00	15		132
16	000	2	00	16		139
16	000	2	00	17		108
16	000	2	00	18		118
16	000	2	00	19		105
16	000	2	00	20		116
16	000	2	00	21		118
16	000	2	00	22		144
16	000	2	00	23		109
16	000	2	00	24		96
16	000	2	00	25		131
16	000	2	00	26		132
16	000	2	00	27		138
16	000	2	00	28		109
16	000	2	00	29		197
16	000	2	00	30		183
16	011	2	10	31		82
17	000	2	00	0		157
17	000	2	00	1		140
17	000	2	00	2		112
17	000	2	00	3		125
17	000	2	00	4		151
17	000	2	00	5		101
17	000	2	00	6		234
17	000	2	00	7		103
17	000	2	00	8		94
17	000	2	00	9		118
17	000	2	00	10		153
17	000	2	00	11		116
17	000	2	00	12		157
17	000	2	00	13		117
17	000	2	00	14		125
17	000	2	00	15		137
17	000	2	00	16		142
17	000	2	00	17		109
17	000	2	00	18		118
17	000	2	00	19		106
17	000	2	00	20		117
17	000	2	00	21		119
17	000	2	00	22		151
17	000	2	00	23		112
17	000	2	00	24		96
17	000	2	00	25		137
17	000	2	00	26		134
17	000	2	00	27		142
17	000	2	00	28		107
17	000	2	00	29		197
17	000	2	00	30		190
17	011	2	10	31		84
18	000	2	00	0		149
18	000	2	00	1		138
18	000	2	00	2		104
18	000	2	00	3		125
18	000	2	00	4		150
18	000	2	00	5		98
18	000	2	00	6		153
18	000	2	00	7		305
18	000	2	00	8		92
18	000	2	00	9		122
18	000	2	00	10		146
18	000	2	00	11		114
18	000	2	00	12		154
18	000	2	00	13		114
18	000	2	00	14		125
18	000	2	00	15		133
18	000	2	00	16		142
18	000	2	00	17		109
18	000	2	00	18		119
18	000	2	00	19		107
18	000	2	00	20		117
18	000	2	00	21		124
18	000	2	00	22		152
18	000	2	00	23		113
18	000	2	00	24		98
18	000	2	00	25		131
18	000	2	00	26		136
18	000	2	00	27		141
18	000	2	00	28		108
18	000	2	00	29		198
18	000	2	00	30		187
18	011	2	10	31		83
19	000	2	00	0		147
19	000	2	00	1		130
19	000	2	00	2		105
19	000	2	00	3		122
19	000	2	00	4		146
19	000	2	00	5		92
19	000	2	00	6		156
19	000	2	00	7		465
19	000	2	00	8		93
19	000	2	00	9		112
19	000	2	00	10		151
19	000	2	00	11		112
19	000	2	00	12		151
19	000	2	00	13		112
19	000	2	00	14		121
19	000	2	00	15		129
19	000	2	00	16		142
19	000	2	00	17		106
19	000	2	00	18		121
19	000	2	00	19		104
19	000	2	00	20		118
19	000	2	00	21		124
19	000	2	00	22		144
19	000	2	00	23		110
19	000	2	00	24		101
19	000	2	00	25		132
19	000	2	00	26		137
19	000	2	00	27		141
19	000	2	00	28		104
19	000	2	00	29		195
19	000	2	00	30		190
19	011	2	10	31		84
20	000	2	00	0		129
20	000	2	00	1		113
20	000	2	00	2		86
20	000	2	00	3		105
20	000	2	00	4		731
20	000	2	00	5		185
20	000	2	00	6		137
20	000	2	00	7		76
20	000	2	00	8		69
20	000	2	00	9		95
20	000	2	00	10		130
20	000	2	00	11		89
20	000	2	00	12		130
20	000	2	00	13		90
20	000	2	00	14		100
20	000	2	00	15		105
20	000	2	00	16		140
20	000	2	00	17		108
20	000	2	00	18		115
20	000	2	00	19		105
20	000	2	00	20		114
20	000	2	00	21		122
20	000	2	00	22		149
20	000	2	00	23		109
20	000	2	00	24		94
20	000	2	00	25		132
20	000	2	00	26		131
20	000	2	00	27		137
20	000	2	00	28		112
20	000	2	00	29		196
20	000	2	00	30		188
20	011	2	10	31		78
21	000	2	00	0		148
21	000	2	00	1		135
21	000	2	00	2		109
21	000	2	00	3		126
21	000	2	00	4		294
21	000	2	00	5		94
21	000	2	00	6		162
21	000	2	00	7		100
