10	184.83
20	182.56
30	192.01
40	202.08
50	211.75
60	220.44
70	228.67
80	238.18
90	248.08
100	257.3
200	335.24
300	403.32
400	456.91
500	500.47
600	536.85
700	566.63
800	591.42
900	613.66
1000	633.0
1200	664.71
1400	690.91
1600	714.02
1800	733.73
2000	750.12
4000	863.55
6000	932.78
8000	983.29
10000	1025.48
12000	1064.09
14000	1096.81
16000	1128.21
18000	1157.92
20000	1184.33
22000	1211.22
24000	1236.4
26000	1260.06
28000	1284.85
30000	1308.04
32000	1330.16
34000	1351.38
36000	1373.11
38000	1394.43
40000	1415.83
42000	1436.1
44000	1455.99
46000	1475.38
48000	1495.69
50000	1515.27
52000	1534.05
54000	1554.01
56000	1573.3
58000	1591.46
60000	1609.3
62000	1628.93
64000	1647.71
