10	174.64
20	173.98
30	182.8
40	193.68
50	202.64
60	212.5
70	220.43
80	229.47
90	240.57
100	247.72
200	325.31
300	390.63
400	441.6
500	482.28
600	517.35
700	544.79
800	568.59
900	590.96
1000	609.29
1200	640.5
1400	666.23
1600	687.98
1800	707.83
2000	723.71
4000	835.83
6000	904.99
8000	955.84
10000	998.17
12000	1036.53
14000	1070.3
16000	1102.1
18000	1130.63
20000	1157.43
22000	1182.92
24000	1208.09
26000	1233.45
28000	1256.07
30000	1279.88
32000	1301.45
34000	1323.28
36000	1344.21
38000	1365.36
40000	1386.07
42000	1406.22
44000	1425.76
46000	1445.91
48000	1465.42
50000	1484.28
52000	1502.54
54000	1522.04
56000	1541.35
58000	1561.36
60000	1579.35
62000	1598.58
64000	1617.18
