10	163.55
20	160.95
30	170.95
40	181.15
50	191.66
60	201.3
70	210.32
80	219.27
90	228.81
100	237.81
200	319.43
300	387.22
400	441.5
500	485.76
600	522.43
700	552.14
800	577.01
900	598.94
1000	618.44
1200	650.07
1400	677.56
1600	700.89
1800	719.73
2000	736.34
4000	849.92
6000	919.35
8000	970.56
10000	1012.0
12000	1051.15
14000	1084.51
16000	1116.11
18000	1144.47
20000	1172.53
22000	1198.57
24000	1224.28
26000	1248.46
28000	1272.47
30000	1297.26
32000	1318.71
34000	1341.17
36000	1362.71
38000	1383.18
40000	1404.48
42000	1424.74
44000	1446.63
46000	1465.63
48000	1484.05
50000	1504.76
52000	1524.05
54000	1543.95
56000	1562.64
58000	1581.94
60000	1600.11
62000	1618.14
64000	1637.71
