10	113.02
20	113.17
30	122.47
40	131.64
50	140.11
60	148.33
70	156.38
80	164.23
90	171.81
100	180.11
200	247.33
300	303.14
400	348.19
500	384.91
600	415.31
700	440.47
800	462.79
900	481.5
1000	498.25
1200	527.93
1400	550.94
1600	571.98
1800	589.32
2000	605.06
4000	707.56
6000	771.69
8000	819.8
10000	860.22
12000	896.34
14000	929.25
16000	958.88
18000	988.11
20000	1013.09
22000	1041.01
24000	1064.54
26000	1088.05
28000	1110.81
30000	1132.42
32000	1154.24
34000	1175.63
36000	1196.1
38000	1216.33
40000	1236.0
42000	1256.16
44000	1275.43
46000	1295.77
48000	1314.29
50000	1333.54
52000	1351.74
54000	1369.83
56000	1387.93
58000	1406.03
60000	1425.0
62000	1443.22
64000	1460.36
