10	200.47
20	198.11
30	206.96
40	216.89
50	226.65
60	235.97
70	245.47
80	255.17
90	265.16
100	273.05
200	352.37
300	419.73
400	473.33
500	518.42
600	554.64
700	583.84
800	607.86
900	629.59
1000	649.67
1200	681.08
1400	708.17
1600	730.86
1800	750.05
2000	768.41
4000	880.66
6000	949.16
8000	1000.44
10000	1043.21
12000	1081.55
14000	1115.59
16000	1147.54
18000	1177.34
20000	1204.95
22000	1230.4
24000	1256.29
26000	1280.76
28000	1305.76
30000	1328.94
32000	1350.88
34000	1373.02
36000	1394.54
38000	1416.15
40000	1436.45
42000	1456.65
44000	1477.75
46000	1497.49
48000	1516.59
50000	1536.53
52000	1556.58
54000	1575.79
56000	1595.06
58000	1612.99
60000	1632.75
62000	1650.47
64000	1669.96
